"","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1513","CYCS",2.2990824028,8.1641349619,5.58144652445605,1.09518063906818e-05,0.00013471899474129,3.35656813888353
"4740","P2RY13",-1.6290596327,8.84842464575,-5.49094461483074,1.3668830102995e-05,0.000159250427002844,3.13952767425638
"2334","G0S2",2.713970764,9.5534395286,5.40037493202307,1.70743599429196e-05,0.000184772262733649,2.92171352830091
"2664","H1-4",1.5303735678,7.2446187979,5.39747700641433,1.71965135785653e-05,0.000185592561640365,2.91473469116044
"7554","XK",-1.7541979386,6.2584679327,-5.38906359150303,1.75561956579742e-05,0.00018884025487801,2.89447012525126
"4739","P2RY12",-1.58754314775,6.253963100325,-5.35087632247269,1.92869859737612e-05,0.000201107009997239,2.80243294014536
"2288","FPR2",-1.5339370801,7.66993402385,-5.34190855041318,1.97178978986444e-05,0.00020400636482215,2.78080544131486
"2923","ID1",1.9983690169,7.98310372145,5.33321387207076,2.01449925954454e-05,0.000207353599877027,2.75983165997395
"1045","CD83",1.7195776859,10.14172536205,5.25746991358548,2.42852000595874e-05,0.000239207727032197,2.57692151656069
"5682","RNF103",1.9031802182,9.0075285938,5.13561511508421,3.28313919595371e-05,0.000297413785986395,2.28198761112291
"2718","HBA2",-1.72482504288334,8.691339429175,-5.08091190072764,3.76015296563612e-05,0.000329530149045002,2.1493495231566
"2717","HBA1",-1.72849236984,8.69329209572,-5.02182749822255,4.35435102430287e-05,0.000367489359538025,2.00594747266277
"1495","CXCL8",3.0491139041,8.6137892335,4.92875485878279,5.48850645360816e-05,0.000430901565495041,1.77980212821525
"4148","MORF4L2",1.5566622111,7.5898909667,4.69854698218999,9.74494300632249e-05,0.000652721898838196,1.21960273110161
"2273","FOSB",1.6754937224,9.1981281381,4.39858001410881,0.000206272645890499,0.00115999392436174,0.489681687192348
"2719","HBB",-2.03555104303334,8.56503552945,-4.37163761908549,0.000220647990670997,0.00122534612294962,0.424224291021492
"4912","PF4V1",-1.7504515015,8.83913785965,-4.30321069632305,0.000261814878876564,0.0014005765699236,0.258112917765279
"6988","TNFRSF17",-1.5591591916,6.9758138035,-4.08268070511859,0.000454065476558942,0.00214649134373318,-0.275437704812342
"2816","HLA-DRB4",1.579400217075,7.7383822689125,4.06069173911913,0.000479645099889914,0.00223834379948627,-0.328444428698568
"6344","SNORA28",1.5358722623,9.15330394955,4.05920953573202,0.000481419905810348,0.00224531776687785,-0.33201594719701
"2955","IFNG",1.6260183934,8.3289667902,3.9937065674025,0.000566712616442121,0.00256978178508975,-0.489653229693954
"6578","STXBP3",1.7379504522,7.0156969959,3.94228474864785,0.000644021694095408,0.0028259319048307,-0.613110738004164
"5612","RGPD1",1.5103394575,7.98727474395,3.81655343906877,0.000879769481802144,0.00362034635676854,-0.913734012205423
"5613","RGPD2",1.5103394575,7.98727474395,3.81655343906877,0.000879769481802144,0.00362034635676854,-0.913734012205423
"5614","RGPD3",1.5103394575,7.98727474395,3.81655343906877,0.000879769481802144,0.00362034635676854,-0.913734012205423
"5615","RGPD4",1.5103394575,7.98727474395,3.81655343906877,0.000879769481802144,0.00362034635676854,-0.913734012205423
"957","CCL3",1.5123007477,10.25551982125,3.77189287419902,0.000982558710754572,0.00394600308712267,-1.02004159233054
"958","CCL3L1",1.5123007477,10.25551982125,3.77189287419902,0.000982558710754572,0.00394600308712267,-1.02004159233054
"959","CCL3L3",1.5123007477,10.25551982125,3.77189287419902,0.000982558710754572,0.00394600308712267,-1.02004159233054
"1614","DEFA1",-2.5440524925,7.56456348965,-3.69394827211464,0.00119103366684257,0.00463449834989083,-1.20490441836311
"1615","DEFA1B",-2.5440524925,7.56456348965,-3.69394827211464,0.00119103366684257,0.00463449834989083,-1.20490441836311
"1616","DEFA3",-2.5440524925,7.56456348965,-3.69394827211464,0.00119103366684257,0.00463449834989083,-1.20490441836311
"3803","LTF",-1.6160253525,6.72458807325,-3.42698494388836,0.00229030587919147,0.00795694988310859,-1.8303870106907
"7669","ZFAND6",1.562740341,10.3392471705,3.41319432296171,0.00236837813059596,0.00817498796112606,-1.86232612719044
"7419","UTS2",2.32431108995,8.115273199225,3.35581769831188,0.00272196852324693,0.00911648847100016,-1.99476788500538
"7710","ZMYM2",1.52524675595,8.041507054275,3.09943298920757,0.00503376773922406,0.0150805881240951,-2.57682844283955
"2271","FOLR3",1.6358576629,9.38903644885,2.29752192135092,0.0309706337040506,0.0684551020430686,-4.25363564595486
